# Truth table
# Generated from circuit bin_to_dec
# Exported on Fri Mar 27 10:53:46 CET 2026

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a ‘#’ is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * ‘Name[N..0]’ indicates an N+1 bit variable, whereas
#   ‘Name’ by itself indicates a 1-bit variable.
# * You can use ‘x’ or ‘-’ to indicate “don’t care” for both
#   input and output bits.
# * You can use binary (e.g., ‘10100011xxxx’) notation or
#   or hex (e.g., ‘C3x’). Logisim will figure out which is which.

bin[7..0] | dec1[3..0] dec10[3..0] dec100[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
00000000  |    0000       0000         0000    
00000001  |    0001       0000         0000    
00000010  |    0010       0000         0000    
00000011  |    0011       0000         0000    
00000100  |    0100       0000         0000    
00000101  |    0101       0000         0000    
00000110  |    0110       0000         0000    
00000111  |    0111       0000         0000    
00001000  |    1000       0000         0000    
00001001  |    1001       0000         0000    
00001010  |    0000       0001         0000    
00001011  |    0001       0001         0000    
00001100  |    0010       0001         0000    
00001101  |    0011       0001         0000    
00001110  |    0100       0001         0000    
00001111  |    0101       0001         0000    
00010000  |    0110       0001         0000    
00010001  |    0111       0001         0000    
00010010  |    1000       0001         0000    
00010011  |    1001       0001         0000    
00010100  |    0000       0010         0000    
00010101  |    0001       0010         0000    
00010110  |    0010       0010         0000    
00010111  |    0011       0010         0000    
00011000  |    0100       0010         0000    
00011001  |    0101       0010         0000    
00011010  |    0110       0010         0000    
00011011  |    0111       0010         0000    
00011100  |    1000       0010         0000    
00011101  |    1001       0010         0000    
00011110  |    0000       0011         0000    
00011111  |    0001       0011         0000    
00100000  |    0010       0011         0000    
00100001  |    0011       0011         0000    
00100010  |    0100       0011         0000    
00100011  |    0101       0011         0000    
00100100  |    0110       0011         0000    
00100101  |    0111       0011         0000    
00100110  |    1000       0011         0000    
00100111  |    1001       0011         0000    
00101000  |    0000       0100         0000    
00101001  |    0001       0100         0000    
00101010  |    0010       0100         0000    
00101011  |    0011       0100         0000    
00101100  |    0100       0100         0000    
00101101  |    0101       0100         0000    
00101110  |    0110       0100         0000    
00101111  |    0111       0100         0000    
00110000  |    1000       0100         0000    
00110001  |    1001       0100         0000    
00110010  |    0000       0101         0000    
00110011  |    0001       0101         0000    
00110100  |    0010       0101         0000    
00110101  |    0011       0101         0000    
00110110  |    0100       0101         0000    
00110111  |    0101       0101         0000    
00111000  |    0110       0101         0000    
00111001  |    0111       0101         0000    
00111010  |    1000       0101         0000    
00111011  |    1001       0101         0000    
00111100  |    0000       0110         0000    
00111101  |    0001       0110         0000    
00111110  |    0010       0110         0000    
00111111  |    0011       0110         0000    
01000000  |    0100       0110         0000    
01000001  |    0101       0110         0000    
01000010  |    0110       0110         0000    
01000011  |    0111       0110         0000    
01000100  |    1000       0110         0000    
01000101  |    1001       0110         0000    
01000110  |    0000       0111         0000    
01000111  |    0001       0111         0000    
01001000  |    0010       0111         0000    
01001001  |    0011       0111         0000    
01001010  |    0100       0111         0000    
01001011  |    0101       0111         0000    
01001100  |    0110       0111         0000    
